full_date,date,weekday,time,mood,activities,note_title,note
2024-12-04,4 Desember,Rabu,8.00 PM,baik,keluarga | film | bersih-bersih | coding,,"hari ini sangat melelahkan karnaa harus bersih bersih rumah dan mengatur ulang kamar, karna terdapat banyak debu sehabis hujan"
2024-12-03,3 Desember,Selasa,8.00 PM,buruk,tidur lebih awal | bersih-bersih,,"hari ini aku tidak enak badan, sehingga harus beristirahat dan tidur lebih awal :("
2024-12-02,2 Desember,Senin,8.00 PM,keren,teman | membaca | game | coding,,hari ini aku sangat senang karna bisa mabar bersama teman temankuh anjaayy
2024-12-01,1 Desember,Minggu,8.00 PM,sangat buruk,santai | film | game | bersih-bersih | coding,,"malam ini moodku buruk, karna komputerku rusak tidak bisa booting"
2024-11-30,30 November,Sabtu,10.48 AM,baik,makan sehat | santai | coding,,"pagi ini aku merasa baik karna mimpiku sangat seru, aku bermimpi dikejar penjahat hingga aku dapat menembak penjahat tersebut sampai mati, kemudian dipagi hari aku bersangai sebentar menonton tv dan dilanjut mengerjakan project"
2024-11-29,29 November,Jumat,8.00 PM,keren,santai | game | coding,,"sekarang moodku sangat baik, aku sangat senang dapat bermain setelahengerjakan tugas, aku bermain valorant menggunakan cheat dan membantai semua musuh, jadi aku sangat senang"
2024-11-29,29 November,Jumat,1.28 PM,buruk,keluarga | santai | film | coding,,"aku mendapat 3 mimpi buruk hari ini, pertama ibulu sekarat, kedua aku punya pacar dan kami menjadi bahan percobaan, ketiga aku mengalami kiamat. tetapi aku dapat mengatasinya dengan menonton film dan bersantai, dan melanjutkan develop aplikasi"
2024-12-08,8 Desember,Minggu,19.0,buruk,lelah | tidak yakin | cemas | stres | sedih | putus asa | tidur tak nenyak | membaca | masakan rumah | rumah makan | keluarga | teman | mendengarkan | Doing the task | istirahat | belanja | bersih-bersih | hujan | panas | berangin | belajar | proyek kelompok | perawatan kulit,,Apa Ais akan bisa? Memperbaikinya? Ais pun tidak ingin mengacaukan. Ais tidak ingin membuat mereka kecewa juga.
2024-12-07,7 Desember,Sabtu,20.0,biasa,bersyukur | santai | lelah | tidak yakin | cemas | marah | stres | sedih | putus asa | tidur tak nenyak | Tidur terlalu banyak | jalan kaki | membaca | masakan rumah | keluarga | cerah,,"Setelah sekian lama, Ais kembali ke alun-alun. Ais membaca buku baru itu. Jurnal Muslimah. Hah... Ais takut, apakah ini sudah terlalu terlambat untuk Ais berbenah diri? Tapi Ais masih hidup. Bukankah itu berarti Ais masih diberi kesempatan? Tapi kenapa Ais sering lupa diri "
2024-12-06,6 Desember,Jumat,20.0,biasa,lelah | tidak yakin | bosan | cemas | marah | stres | sedih | tidur tak nenyak | membaca | masakan rumah | hujan,,Perut Ais sakit sekali
2024-12-05,5 Desember,Kamis,20.0,buruk,lelah | cemas | stres | tidur tak nenyak | minum air | membaca | masakan rumah | keluarga | hujan,,Hari pertama haid
2024-12-04,4 Desember,Rabu,20.0,baik,bersyukur | cemas | tidur lumayan nenyak | minum air | film | membaca | masakan rumah | keluarga | teman | Doing the task | fokus | belanja | bersih-bersih | berawan | berangin | belajar,,
2024-12-03,3 Desember,Selasa,20.0,buruk,cemas | stres | sedih | Tidur terlalu banyak | minum air | membaca | masakan rumah | keluarga | kebaikan | Doing the task | fokus | bersih-bersih | berawan | proyek kelompok,,I'll just going through it
2024-12-02,2 Desember,Senin,16.59,buruk,lelah | tidak yakin | bosan | cemas | sedih | putus asa | Tidur terlalu banyak | masakan rumah | keluarga | Doing the task | hujan | kelas | belajar | ujian,,
2024-12-01,1 Desember,Minggu,20.0,biasa,santai | tidak yakin | cemas | Tidur terlalu banyak | jalan kaki | santai | teman | hujan,,
2024-11-30,30 November,Sabtu,20.0,buruk,cemas | marah | stres | sedih | putus asa | Tidur terlalu banyak | masakan rumah | hujan | proyek kelompok,,
2024-11-29,29 November,Jumat,20.0,biasa,senang | bersemangat | bersyukur | cemas | sedih | Tidur terlalu banyak | minum air | masakan rumah | rumah makan | keluarga | belanja | hujan,,Mama beli hp
2024-11-28,28 November,Kamis,20.0,biasa,bersemangat | bersyukur | tidak yakin | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,ILT SS
2024-11-27,27 November,Rabu,20.0,baik,bersyukur | santai | tidak yakin | cemas | tidur lumayan nenyak | minum air | jalan kaki | film | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | istirahat | bersih-bersih | berawan | belajar,,
2024-11-26,26 November,Selasa,20.0,buruk,tidak yakin | cemas | stres | sedih | putus asa | tidur tak nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | fokus | bersih-bersih | berawan | kelas | belajar,,
2024-11-25,25 November,Senin,20.0,buruk,cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | teman | mendengarkan | Doing the task | fokus | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | proyek kelompok,,
2024-11-24,24 November,Minggu,20.0,biasa,bersemangat | bersyukur | tidak yakin | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | tidur tak nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | bersih-bersih | cerah | berawan | kelas | belajar,,
2024-11-23,23 November,Sabtu,20.0,buruk,cemas | tidur tak nenyak | hujan,,
2024-11-22,22 November,Jumat,12.03,buruk,lelah | putus asa | Tidur terlalu banyak | minum air | santai | masakan rumah | keluarga | berawan,,
2024-11-21,21 November,Kamis,20.0,baik,senang | bersemangat | bersyukur | puas | tidur lumayan nenyak | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | bersih-bersih | berawan | hujan | berangin | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-20,20 November,Rabu,20.0,buruk,tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | istirahat | bersih-bersih | berawan | belajar,,
2024-11-19,19 November,Selasa,20.0,biasa,tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | fokus | bersih-bersih | hujan | belajar,,
2024-11-18,18 November,Senin,20.0,biasa,bersyukur | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | fokus | bersih-bersih | cerah | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-17,17 November,Minggu,20.0,biasa,bersyukur | cemas | tidur lumayan nenyak | minum air | film | membaca | masakan rumah | keluarga | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | belajar,,
2024-11-16,16 November,Sabtu,20.0,baik,bersyukur | cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | meditasi | kebaikan | mendengarkan | fokus | istirahat | bersih-bersih | cerah | belajar,,
2024-11-15,15 November,Jumat,20.0,baik,bersemangat | puas | lelah | cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | buat daftar | fokus | bersih-bersih | cerah | berawan | hujan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-14,14 November,Kamis,20.0,buruk,lelah | tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | fokus | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-13,13 November,Rabu,20.0,biasa,bersyukur | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | teman | kebaikan | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-12,12 November,Selasa,20.0,biasa,bersyukur | tidak yakin | cemas | sedih | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | belanja | cerah | berawan | hujan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-11,11 November,Senin,20.0,biasa,bersyukur | santai | tidak yakin | cemas | stres | sedih | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | buat daftar | fokus | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-10,10 November,Minggu,20.0,biasa,bosan | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | istirahat | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-09,9 November,Sabtu,20.0,baik,bersemangat | bersyukur | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | meditasi | kebaikan | mendengarkan | Doing the task | fokus | belanja | bersih-bersih | cerah | kelas | belajar | pekerjaan rumah | ujian,,
2024-11-08,8 November,Jumat,20.0,baik,bersemangat | tidur lumayan nenyak | minum air | jalan kaki | film | membaca | masakan rumah | keluarga | teman | kebaikan | Doing the task | fokus | bersih-bersih | berawan | hujan | belajar,,
2024-11-07,7 November,Kamis,20.0,buruk,cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok,,
2024-11-06,6 November,Rabu,20.42,buruk,bersyukur | puas | tidak yakin | cemas | stres | sedih | tidur nyenyak | jalan kaki | santai | masakan rumah | keluarga | teman | Doing the task | fokus | nyuci | berawan | belajar | pekerjaan rumah | kesehatan,,
2024-12-08,8 Desember,Minggu,14.57,keren,teman | santai | membaca | game,,
2024-12-07,7 Desember,Sabtu,13.07,keren,keluarga | teman | kencan | olahraga | santai | belanja,,
2024-12-06,6 Desember,Jumat,20.0,baik,tidur lebih awal | santai | game | belanja,,
2024-12-05,5 Desember,Kamis,20.0,biasa,keluarga | tidur lebih awal | film,,
2024-12-04,4 Desember,Rabu,20.52,keren,keluarga | tidur lebih awal | makan sehat | santai | film | game,,
2024-12-03,3 Desember,Selasa,20.02,biasa,teman | tidur lebih awal,,
2024-12-02,2 Desember,Senin,20.0,baik,teman | tidur lebih awal | santai | game,,
2024-12-01,1 Desember,Minggu,11.02,buruk,,,
2024-11-30,30 November,Sabtu,20.0,baik,olahraga | olahraga | bersih-bersih,,
2024-11-29,29 November,Jumat,13.33,biasa,tidur lebih awal | makan sehat | santai,,
2024-11-28,28 November,Kamis,20.0,keren,tidur lebih awal | makan sehat | membaca | game | bersih-bersih | belanja,,
2024-11-27,27 November,Rabu,20.0,baik,tidur lebih awal | game | bersih-bersih | belanja,,
2024-11-26,26 November,Selasa,20.0,buruk,tidur lebih awal,,
2024-11-25,25 November,Senin,20.0,biasa,santai | belanja,,
2024-12-07,7 Desember,Sabtu,20.0,biasa,tidur lebih awal | film,,
2024-12-06,6 Desember,Jumat,20.0,biasa,doing task | perjalanan,,
2024-12-05,5 Desember,Kamis,20.0,baik,tidur lebih awal | film | game,,
2024-12-04,4 Desember,Rabu,20.0,keren,olahraga | tidur lebih awal | membaca | game | culinary,,
2024-12-03,3 Desember,Selasa,20.0,baik,olahraga | makan sehat | film,,
2024-12-02,2 Desember,Senin,22.45,biasa,doing task,,
2024-12-01,1 Desember,Minggu,23.17,biasa,rapat organisasi,,
2024-11-29,29 November,Jumat,13.24,buruk,Tidur telat,,
2024-11-28,28 November,Kamis,20.0,buruk,doing task | perjalanan,,
2024-11-27,27 November,Rabu,20.0,baik,tidur lebih awal | makan sehat | santai,,
2024-11-26,26 November,Selasa,20.05,baik,keluarga | olahraga | makan sehat | membaca | culinary,,
2024-11-25,25 November,Senin,20.0,buruk,doing task,,
2024-11-24,24 November,Minggu,20.0,keren,keluarga | olahraga | tidur lebih awal,,
2024-11-23,23 November,Sabtu,18.44,baik,,,
2024-12-09,December 9,Monday,4:17 PM,awful,ngejar deadline,,
2024-12-08,December 8,Sunday,8:00 PM,good,friends,,im not happy if without u
2024-12-08,December 8,Sunday,3:28 PM,rad,friends,,someone
2024-12-07,December 7,Saturday,8:00 PM,good,,,"i'm good, i trust allah, allah will give me a great something"
2024-12-06,December 6,Friday,8:00 PM,good,,,
2024-12-05,December 5,Thursday,8:00 PM,meh,sleep early,,hari ini capek
2024-12-03,December 3,Tuesday,8:00 PM,rad,movies,,alhamdulillah
2024-12-01,December 1,Sunday,8:00 PM,bad,,,:)
2024-11-30,November 30,Saturday,8:14 AM,awful,ngejar deadline,,Pusinggg
2024-11-29,November 29,Friday,11:26 PM,meh,friends | relax,,Aku cinta diriku
2024-11-28,November 28,Thursday,12:56 PM,rad,family | date | relax | movies | shopping,,
2024-12-08,December 8,Sunday,12:21 AM,awful,,,
2024-12-05,December 5,Thursday,7:50 AM,awful,,,
2024-12-03,December 3,Tuesday,6:50 AM,awful,,,
2024-12-02,December 2,Monday,8:55 PM,meh,,,
2024-12-01,December 1,Sunday,11:59 PM,rad,happy | excited | grateful | relaxed | content | tired | unsure | medium sleep | eat healthy | drink water | reading | homemade | no soda | family | friends | kindness | listen | give gift | start early | make list | focus | take a break | cleaning | cooking | sunny | clouds | skin care,,
2024-11-30,November 30,Saturday,8:55 PM,good,manicure,,
2024-11-29,November 29,Friday,8:55 PM,good,laundry,,
2024-11-24,November 24,Sunday,12:41 PM,rad,,,
2024-11-23,November 23,Saturday,6:02 PM,good,,,
2024-11-17,November 17,Sunday,6:17 PM,awful,tired | unsure | bored | angry | stressed | sad | desperate | good sleep | eat healthy | drink water | walk | movies & tv | reading | relax | fast food | homemade | no soda | friends | listen | start early | make list | focus | take a break | cleaning | cooking | class | study | homework | exam | group project | sunny | clouds | wind | skin care,,
2024-11-16,November 16,Saturday,8:58 PM,meh,no sweets | no soda,,
2024-11-16,November 16,Saturday,8:55 PM,rad,happy | excited | grateful | good sleep | eat healthy | movies & tv | reading | homemade | no sweets | no soda | friends | meditation | make list | cleaning | cooking | class | study | group project | sunny | clouds | rain | snow | heat | wind | wellness | massage | skin care,,
2024-11-11,November 11,Monday,4:24 PM,rad,happy | excited | grateful | relaxed | content | medium sleep | exercise | eat healthy | drink water | walk | relax | fast food | homemade | no soda | friends | meditation | kindness | listen | start early | make list | focus | take a break | shopping | cleaning | cooking | laundry | class | study | homework | exam | group project | clouds | snow | wind | manicure | pedicure | skin care,,
2024-10-29,October 29,Tuesday,7:48 AM,rad,,,
2024-08-28,August 28,Wednesday,7:15 AM,awful,,,
2024-08-26,August 26,Monday,10:04 AM,good,,,
2024-08-24,August 24,Saturday,7:47 PM,rad,,,
2024-08-19,August 19,Monday,7:07 AM,awful,,,
2024-07-05,July 5,Friday,4:40 PM,awful,,,
2024-07-03,July 3,Wednesday,5:50 PM,rad,,,
2024-07-03,July 3,Wednesday,5:49 PM,rad,,,
2024-06-30,June 30,Sunday,5:49 PM,awful,,,
2024-06-25,June 25,Tuesday,6:15 PM,meh,,,
2024-06-25,June 25,Tuesday,4:36 PM,rad,,,
2024-06-25,June 25,Tuesday,4:16 PM,rad,,,
2024-06-24,June 24,Monday,2:44 PM,rad,,,
2024-06-24,June 24,Monday,1:53 PM,rad,,,
2024-06-23,June 23,Sunday,2:15 PM,rad,,,
2024-06-16,June 16,Sunday,9:11 AM,rad,,,
2024-06-14,June 14,Friday,9:00 PM,rad,,,
2024-06-14,June 14,Friday,7:32 PM,rad,,,
2024-06-13,June 13,Thursday,1:02 AM,meh,,,
2024-06-12,June 12,Wednesday,6:25 PM,awful,,,
2024-06-12,June 12,Wednesday,6:24 PM,awful,,,
2024-06-12,June 12,Wednesday,6:23 PM,awful,,,
2024-06-12,June 12,Wednesday,11:03 AM,good,,,
2024-06-11,June 11,Tuesday,11:45 PM,meh,,,
2024-06-11,June 11,Tuesday,7:32 PM,meh,,,
2024-06-09,June 9,Sunday,4:37 PM,meh,,,
2024-06-09,June 9,Sunday,3:35 PM,awful,,,
2024-06-09,June 9,Sunday,3:34 PM,meh,,,
2024-06-02,June 2,Sunday,11:42 AM,awful,,,
2024-05-29,May 29,Wednesday,6:27 PM,awful,,,
2024-05-28,May 28,Tuesday,7:43 AM,rad,,,
2024-05-26,May 26,Sunday,1:00 PM,bad,,,
2024-05-22,May 22,Wednesday,7:03 PM,awful,,,
2024-05-22,May 22,Wednesday,7:01 PM,awful,,,
2024-05-22,May 22,Wednesday,6:57 PM,awful,,,
2024-05-21,May 21,Tuesday,9:20 AM,rad,,,
2024-05-20,May 20,Monday,12:17 PM,rad,,,
2024-05-09,May 9,Thursday,9:39 AM,meh,,,
2024-04-15,April 15,Monday,1:13 AM,rad,,,
2024-04-14,April 14,Sunday,3:19 AM,awful,,,
2024-04-13,April 13,Saturday,6:07 PM,awful,,,
2024-04-10,April 10,Wednesday,3:37 PM,rad,,,
2024-04-10,April 10,Wednesday,6:24 AM,rad,,,
2024-04-07,April 7,Sunday,6:35 PM,rad,,,
2024-04-05,April 5,Friday,7:25 AM,rad,,,
2024-04-03,April 3,Wednesday,8:27 AM,rad,,,
2024-04-01,April 1,Monday,6:46 PM,rad,,,
2024-03-31,March 31,Sunday,6:09 PM,rad,,,
2024-03-30,March 30,Saturday,6:00 PM,rad,,,
2024-03-30,March 30,Saturday,10:58 AM,rad,,,
2024-03-30,March 30,Saturday,3:53 AM,rad,,,
2024-03-29,March 29,Friday,6:07 PM,good,,,
2024-03-29,March 29,Friday,4:11 PM,bad,,,
2024-03-28,March 28,Thursday,10:42 PM,rad,,,
2024-03-28,March 28,Thursday,6:11 PM,rad,,,
2024-03-27,March 27,Wednesday,3:52 AM,rad,,,
2024-03-26,March 26,Tuesday,5:41 PM,rad,,,
2024-03-26,March 26,Tuesday,10:42 AM,rad,,,
2024-03-26,March 26,Tuesday,3:49 AM,rad,,,
2024-03-25,March 25,Monday,9:00 PM,awful,,,
2024-03-25,March 25,Monday,5:48 PM,rad,,,
2024-03-25,March 25,Monday,3:24 PM,awful,,,
2024-03-24,March 24,Sunday,5:55 PM,rad,,,
2024-03-24,March 24,Sunday,1:26 PM,rad,,,
2024-03-24,March 24,Sunday,6:55 AM,rad,,,
2024-03-23,March 23,Saturday,1:32 PM,meh,,,
2024-03-22,March 22,Friday,6:44 PM,rad,,,
2024-03-22,March 22,Friday,6:42 PM,rad,,,
2024-03-21,March 21,Thursday,8:22 AM,rad,,,
2024-03-21,March 21,Thursday,3:18 AM,rad,,,
2024-03-21,March 21,Thursday,2:28 AM,rad,,,
2024-03-19,March 19,Tuesday,10:02 PM,meh,,,
2024-03-18,March 18,Monday,4:04 AM,meh,,,
2024-03-17,March 17,Sunday,5:57 PM,rad,,,
2024-03-17,March 17,Sunday,1:57 PM,meh,,,
2024-03-17,March 17,Sunday,1:15 PM,good,,,
2024-03-15,March 15,Friday,10:02 AM,rad,,,
2024-03-14,March 14,Thursday,7:18 AM,rad,,,
2024-03-13,March 13,Wednesday,6:08 PM,rad,,,
2024-03-13,March 13,Wednesday,3:48 PM,good,,,
2024-03-13,March 13,Wednesday,4:32 AM,rad,,,
2024-02-28,February 28,Wednesday,2:37 PM,meh,,,
2024-02-17,February 17,Saturday,2:28 PM,awful,,,
2024-02-16,February 16,Friday,7:18 AM,good,,,
2024-02-15,February 15,Thursday,2:48 PM,bad,,,
2024-02-10,February 10,Saturday,11:00 AM,awful,,,
2024-02-06,February 6,Tuesday,5:58 AM,rad,happy | excited | grateful | relaxed | sleep early | good sleep | medium sleep | bad sleep | exercise | eat healthy | drink water | movies & tv | reading | relax | fast food | homemade | family | meditation | kindness | listen | give gift | start early | make list | focus | take a break | shopping | cleaning | class | study | homework | exam | group project | sunny | heat | wellness | massage | skin care,,
2024-01-28,January 28,Sunday,4:01 AM,meh,,,
2024-01-27,January 27,Saturday,7:30 PM,awful,,,
2024-01-26,January 26,Friday,8:40 PM,awful,,,
2024-01-17,January 17,Wednesday,1:58 AM,rad,happy | excited | tired | good sleep | exercise | eat healthy | drink water | walk | movies & tv | reading | gaming | sport | relax | homemade | family | friends | start early | make list | focus | take a break | shopping | cleaning | cooking | laundry | class | study | homework | exam | group project | rain | heat | wellness | massage | manicure | skin care | spa,,
2023-12-17,December 17,Sunday,11:44 AM,meh,stressed | bad sleep | drink water | homemade | family | listen,,
2023-12-02,December 2,Saturday,6:03 PM,awful,happy | excited | grateful | relaxed | content | tired | unsure | bored | anxious | angry | stressed | sad | desperate | good sleep | exercise | drink water | walk | relax | fast food | restaurant | no sweets | no soda | friends | meditation | listen | start early | take a break | class | study | homework | group project | sunny | clouds | wind | manicure | skin care,,
2023-11-28,November 28,Tuesday,7:02 AM,bad,excited | tired | unsure | bored | anxious | angry | stressed | sad | desperate | bad sleep | eat healthy | drink water | walk | homemade | no sweets | no soda | clouds | wind,,
2023-11-17,November 17,Friday,7:00 AM,awful,anxious | angry | stressed | sad | desperate | bad sleep | walk | movies & tv | homemade | no meat | no soda | skin care,,
2023-11-15,November 15,Wednesday,9:00 PM,awful,tired | anxious | stressed | sad | bad sleep | walk | homemade | no meat | no sweets | no soda | clouds | wind | skin care,,
2023-11-14,November 14,Tuesday,12:01 PM,meh,tired | unsure | bored | anxious | stressed | desperate | bad sleep | drink water | walk | homemade | no meat | no soda | start early | cleaning | exam | group project | heat | manicure | skin care,,
