full_date,date,weekday,time,mood,activities,note_title,note
2024-11-21,21 November,Kamis,20.00,baik,"senang | bersemangat | bersyukur | puas | tidur lumayan nenyak | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | bersih-bersih | berawan | hujan | berangin | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-20,20 November,Rabu,20.00,buruk,"tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | istirahat | bersih-bersih | berawan | belajar","",""
2024-11-19,19 November,Selasa,20.00,biasa,"tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | fokus | bersih-bersih | hujan | belajar","",""
2024-11-18,18 November,Senin,20.00,biasa,"bersyukur | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | fokus | bersih-bersih | cerah | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-17,17 November,Minggu,20.00,biasa,"bersyukur | cemas | tidur lumayan nenyak | minum air | film | membaca | masakan rumah | keluarga | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | belajar","",""
2024-11-16,16 November,Sabtu,20.00,baik,"bersyukur | cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | meditasi | kebaikan | mendengarkan | fokus | istirahat | bersih-bersih | cerah | belajar","",""
2024-11-15,15 November,Jumat,20.00,baik,"bersemangat | puas | lelah | cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | buat daftar | fokus | bersih-bersih | cerah | berawan | hujan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-14,14 November,Kamis,20.00,buruk,"lelah | tidak yakin | bosan | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | fokus | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-13,13 November,Rabu,20.00,biasa,"bersyukur | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | teman | kebaikan | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-12,12 November,Selasa,20.00,biasa,"bersyukur | tidak yakin | cemas | sedih | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | belanja | cerah | berawan | hujan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-11,11 November,Senin,20.00,biasa,"bersyukur | santai | tidak yakin | cemas | stres | sedih | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | buat daftar | fokus | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-10,10 November,Minggu,20.00,biasa,"bosan | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | istirahat | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-09,9 November,Sabtu,20.00,baik,"bersemangat | bersyukur | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | meditasi | kebaikan | mendengarkan | Doing the task | fokus | belanja | bersih-bersih | cerah | kelas | belajar | pekerjaan rumah | ujian","",""
2024-11-08,8 November,Jumat,20.00,baik,"bersemangat | tidur lumayan nenyak | minum air | jalan kaki | film | membaca | masakan rumah | keluarga | teman | kebaikan | Doing the task | fokus | bersih-bersih | berawan | hujan | belajar","",""
2024-11-07,7 November,Kamis,20.00,buruk,"cemas | tidur lumayan nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","",""
2024-11-06,6 November,Rabu,20.42,buruk,"bersyukur | puas | tidak yakin | cemas | stres | sedih | tidur nyenyak | jalan kaki | santai | masakan rumah | keluarga | teman | Doing the task | fokus | nyuci | berawan | belajar | pekerjaan rumah | kesehatan","",""
